Hash,Division,Collection,ProductNameDescription,ProductNameDescriptionSecondary,ProductCategory,Colorway,CarryOver,Essential,SKUCode,ColorwaySKU0,ColorwaySKU1,ColorwaySKU2,ColorwaySKU3,ColorwaySKU4,ColorwaySKU5,ColorwaySKU6,Size0,Size1,Size2,Size3,Size4,Size5,Size6,USRetailMSRP,EURetailMSRP,CountryCode,Composition,ProductDescription,ProductFeatures,imageURL,thumbURL
40025-00014,Bike,SP23,AIRMATIC,Pants,Gear,Charcoal,TRUE,TRUE,40025-00014,40025-00014,40025-00015,40025-00016,40025-00017,40025-00018,40025-00019,40025-00020,28,30,32,34,36,38,40,119,119,CN,"96% Polyester
4% Elastane",Airmatic All Mountain riding gear provides all day comfort for most trail conditions you encounter. Airmatic strikes the perfect balance of fit and function and is constructed with exceptional materials for long lasting wear.,"• DWR mid-weight polyester/spandex 4-way stretch woven fabric
• Stretch mesh gusset fly with adjustable metal hook closure for the perfect fit
• Tapered leg reduces drag and articulated knee improves mobility
• Silicone print on inner waistband to minimize slippage
• Zipper pockets for security of essentials
• Stabilization pocket to store device or tool",https://fs.amplifi.io//file?id=67e0247e-a58f-46dd-9020-4291c1032e42,https://fs.amplifi.io//file?id=67e0247e-a58f-46dd-9020-4291c1032e42&variant=thumb&extension=png
40026-00000,Bike,SP23,AIRMATIC,Women's Pants,Gear,Black,TRUE,TRUE,40026-00000,40026-00000,40026-00001,40026-00002,40026-00003,,,,S,M,L,XL,,,,119,119,CN,"96% Polyester
4% Elastane",Airmatic All Mountain riding gear provides all day comfort for most trail conditions you encounter. Airmatic strikes the perfect balance of fit and function and is constructed with exceptional materials for long lasting wear.,"• DWR mid-weight polyester/spandex 4-way stretch woven fabric
• Zipper fly with adjustable metal hook closure for the perfect fit
• Tapered leg reduces drag and articulated knee improves mobility
• Silicone print on inner waistband to minimize slippage
• Zipper pockets for security of essentials
• Stabilization pocket to store device or tool",https://fs.amplifi.io//file?id=b6e22b98-a2dd-47ba-96d4-6b9bce6be5b4,https://fs.amplifi.io//file?id=b6e22b98-a2dd-47ba-96d4-6b9bce6be5b4&variant=thumb&extension=png
40026-00004,Bike,SP23,AIRMATIC,Women's Pants,Gear,Charcoal,TRUE,TRUE,40026-00004,40026-00004,40026-00005,40026-00006,40026-00007,,,,S,M,L,XL,,,,119,119,CN,"96% Polyester
4% Elastane",Airmatic All Mountain riding gear provides all day comfort for most trail conditions you encounter. Airmatic strikes the perfect balance of fit and function and is constructed with exceptional materials for long lasting wear.,"• DWR mid-weight polyester/spandex 4-way stretch woven fabric
• Zipper fly with adjustable metal hook closure for the perfect fit
• Tapered leg reduces drag and articulated knee improves mobility
• Silicone print on inner waistband to minimize slippage
• Zipper pockets for security of essentials
• Stabilization pocket to store device or tool",https://fs.amplifi.io//file?id=187cb1ac-efcc-43ad-abb2-79c2d78d62d9,https://fs.amplifi.io//file?id=187cb1ac-efcc-43ad-abb2-79c2d78d62d9&variant=thumb&extension=png
40028-00000,Bike,SP23,RIDECAMP,Long Sleeve Jersey,Gear,Black/Charcoal,TRUE,TRUE,40028-00000,40028-00000,40028-00001,40028-00002,40028-00003,40028-00004,,,S,M,L,XL,2XL,,,44,44,TW,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• Polyester mesh fabric with moisture management and anti-microbial properties
• Screen-printed graphics
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=ceaa8545-f806-4974-8494-41e882240097,https://fs.amplifi.io//file?id=ceaa8545-f806-4974-8494-41e882240097&variant=thumb&extension=png
40029-00000,Bike,SP23,RIDECAMP,Shorts,Gear,Black,TRUE,TRUE,40029-00000,40029-00000,40029-00001,40029-00002,40029-00003,40029-00004,40029-00005,40029-00006,28,30,32,34,36,38,40,69,69,CN,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• DWR Polyester 2-way mechanical stretch twill fabric
• Stretch mesh fly with adjustable snap waist closure
• Velcro cargo pocket and zipper pocket for security of essentials
• Reflective tape for increased visibility",https://fs.amplifi.io//file?id=50cc0832-d1df-47bb-b5d2-fe475e78ea32,https://fs.amplifi.io//file?id=50cc0832-d1df-47bb-b5d2-fe475e78ea32&variant=thumb&extension=png
40029-00007,Bike,SP23,RIDECAMP,Shorts,Gear,Charcoal,TRUE,TRUE,40029-00007,40029-00007,40029-00008,40029-00009,40029-00010,40029-00011,40029-00012,40029-00013,28,30,32,34,36,38,40,69,69,CN,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• DWR Polyester 2-way mechanical stretch twill fabric
• Stretch mesh fly with adjustable snap waist closure
• Velcro cargo pocket and zipper pocket for security of essentials
• Reflective tape for increased visibility",https://fs.amplifi.io//file?id=7bcd6f10-79c5-4401-aac1-136f2f3a1e15,https://fs.amplifi.io//file?id=7bcd6f10-79c5-4401-aac1-136f2f3a1e15&variant=thumb&extension=png
40030-00000,Bike,SP23,RIDECAMP,Shorts w/ Liner,Gear,Black,TRUE,TRUE,40030-00000,40030-00000,40030-00001,40030-00002,40030-00003,40030-00004,40030-00005,40030-00006,28,30,32,34,36,38,40,99,99,CN,"Shell
100% Polyester
Lining
100% Polyester","Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• DWR Polyester 2-way mechanical stretch twill fabric
• Stretch mesh fly with adjustable snap waist closure
• Reflective logo for increased visibility
• Velcro cargo pocket and zipper pocket for security of essentials
• Mesh liner short with brushed elastic and comfy chamois included",https://fs.amplifi.io//file?id=ee7334f0-edc8-401c-bfd6-a657c148ceb7,https://fs.amplifi.io//file?id=ee7334f0-edc8-401c-bfd6-a657c148ceb7&variant=thumb&extension=png
40033-00000,Bike,SP23,RIDECAMP,Youth Shorts,Gear,Black,TRUE,TRUE,40033-00000,40033-00000,40033-00001,40033-00002,40033-00003,,,,22,24,26,28,,,,64,64,CN,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• DWR Polyester 2-way mechanical stretch twill fabric
• Stretch mesh fly with adjustable snap waist closure
• Velcro cargo pocket and zipper pocket for security of essentials
• Reflective logo for increased visibility",https://fs.amplifi.io//file?id=7f80e25f-5540-4539-8cd1-ecdebfbd6f4a,https://fs.amplifi.io//file?id=7f80e25f-5540-4539-8cd1-ecdebfbd6f4a&variant=thumb&extension=png
40034-00000,Bike,SP23,RIDECAMP,Youth Shorts w/ Liner,Gear,Black,TRUE,TRUE,40034-00000,40034-00000,40034-00001,40034-00002,40034-00003,,,,22,24,26,28,,,,89,89,CN,"Shell
100% Polyester
Lining
100% Polyester","Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• DWR Polyester 2-way mechanical stretch twill fabric
• Stretch mesh fly with adjustable snap waist closure
• Velcro cargo pocket and zipper pocket for security of essentials
• Reflective logo for increased visibility
• Mesh liner short with brushed elastic and comfy chamois included",https://fs.amplifi.io//file?id=1c1abad1-d017-4d9e-9a83-cae187fcb146,https://fs.amplifi.io//file?id=1c1abad1-d017-4d9e-9a83-cae187fcb146&variant=thumb&extension=png
40035-00000,Bike,SP23,RIDECAMP,Women's Short Sleeve Jersey,Gear,Black/Grey,TRUE,TRUE,40035-00000,40035-00000,40035-00001,40035-00002,40035-00003,,,,L,M,S,XL,,,,39,39,TW,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• Polyester mesh fabric with moisture management and anti-microbial properties
• Screen-printed graphics
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=01b718e6-d46e-4d1b-bf37-4cc03509fa6d,https://fs.amplifi.io//file?id=01b718e6-d46e-4d1b-bf37-4cc03509fa6d&variant=thumb&extension=png
40036-00000,Bike,SP23,RIDECAMP,Women's Long Sleeve Jersey,Gear,Grey/Black,TRUE,TRUE,40036-00000,40036-00000,40036-00001,40036-00002,40036-00003,,,,S,M,L,XL,,,,44,44,TW,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• Polyester mesh fabric with moisture management and anti-microbial properties
• Screen-printed graphics
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=2fc64b49-4e76-4e85-9b3f-93bc40768b54,https://fs.amplifi.io//file?id=2fc64b49-4e76-4e85-9b3f-93bc40768b54&variant=thumb&extension=png
40037-00000,Bike,SP23,RIDECAMP,Women's Shorts,Gear,Black,TRUE,TRUE,40037-00000,40037-00000,40037-00001,40037-00002,40037-00003,,,,S,M,L,XL,,,,69,69,CN,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• DWR Polyester 2-way mechanical stretch twill fabric
• Zipper fly with adjustable snap waist closure
• Zipper pockets for security of essentials
• Reflective logo for increased visibility",https://fs.amplifi.io//file?id=bcec1a05-bd47-4b62-b910-822e980b0a69,https://fs.amplifi.io//file?id=bcec1a05-bd47-4b62-b910-822e980b0a69&variant=thumb&extension=png
40037-00008,Bike,SP23,RIDECAMP,Women's Shorts,Gear,Grey,TRUE,TRUE,40037-00008,40037-00008,40037-00009,40037-00010,40037-00011,,,,S,M,L,XL,,,,69,69,CN,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• DWR Polyester 2-way mechanical stretch twill fabric
• Zipper fly with adjustable snap waist closure
• Zipper pockets for security of essentials
• Reflective logo for increased visibility",https://fs.amplifi.io//file?id=c1830dcb-2a82-4a92-84aa-7460e295700f,https://fs.amplifi.io//file?id=c1830dcb-2a82-4a92-84aa-7460e295700f&variant=thumb&extension=png
40038-00000,Bike,SP23,RIDECAMP,Women's Shorts w/ Liner,Gear,Black,TRUE,TRUE,40038-00000,40038-00000,40038-00001,40038-00002,40038-00003,,,,S,M,L,XL,,,,99,99,CN,"Shell
100% Polyester
Lining
100% Polyester","Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• DWR Polyester 2-way mechanical stretch twill fabric
• Zipper fly with adjustable snap waist closure
• Zipper pockets for security of essentials
• Reflective logo for increased visibility
• Mesh liner short with brushed elastic and comfy chamois included",https://fs.amplifi.io//file?id=f62642a9-9b2f-417d-885e-bee465c11ca0,https://fs.amplifi.io//file?id=f62642a9-9b2f-417d-885e-bee465c11ca0&variant=thumb&extension=png
40039-00000,Bike,SP23,HYDROMATIC,Jacket,Gear,Black,TRUE,TRUE,40039-00000,40039-00000,40039-00001,40039-00002,40039-00003,40039-00004,,,S,M,L,XL,2XL,,,189,189,CN,"90% Polyester
10% Nylon","Our Hydromatic collection of outerwear incorporates key features to battle tough riding conditions with a lightweight, aerodynamic fit. Stay warm and dry without sacrificing style and comfort.","• Mechanical Stretch Woven with 2.5 layer 10K/10K waterproof/breathable laminate
• Water Resistant Coating to minimize liquid penetration
• Cordura sleeve panels for added abrasion resistance
• Fully taped seams keep you dry in wet conditions
• 2-Way Waterproof CF zipper for added weather protection and ventilation
• Waterproof zippers and taped hand pockets
• Sock cord encased inside hood and hem channels for ideal fit
• Adjustable sleeve tabs for optimal fit with or without gloves
• Back venting for increased air flow
• Aerodynamic fit with drop tail hem for best riding performance
• Microfiber wipe inside pocket to aid in keeping your eye wear clean
• Reflective logos on front and back for visibility
• Snap and loop at inside of hood to consolidate when not riding",https://fs.amplifi.io//file?id=4929c55f-61a7-4d4f-b828-4b65903b98c1,https://fs.amplifi.io//file?id=4929c55f-61a7-4d4f-b828-4b65903b98c1&variant=thumb&extension=png
40040-00000,Bike,SP23,HYDROMATIC,Shorts,Gear,Black,TRUE,TRUE,40040-00000,40040-00000,40040-00001,40040-00002,40040-00003,40040-00004,40040-00005,40040-00006,28,30,32,34,36,38,40,139,139,CN,"80% Polyester
20% Nylon","Our Hydromatic collection of outerwear incorporates key features to battle tough riding conditions with a lightweight, aerodynamic fit. Stay warm and dry without sacrificing style and comfort.","• Mechanical Stretch Woven with 2.5 layer 10K/10K waterproof/breathable laminate
• Water Resistant Coating to minimize liquid penetration
• Cordura back saddle panel for added abrasion resistance
• Fully taped seams keep you dry in wet conditions
• BOA System dial and lace technology for a lightweight, incrementally adjustable waist closure for the ideal fit
• Waterproof pocket zippers for added security of essentials
• Stabilization pocket to store device or tool
• Silicone print on inner waistband to minimize slippage
• Aerodynamic fit for best riding performance
• Reflective logos for added visibility.",https://fs.amplifi.io//file?id=a0f18bd1-ec59-4149-82c4-1b3d27943dac,https://fs.amplifi.io//file?id=a0f18bd1-ec59-4149-82c4-1b3d27943dac&variant=thumb&extension=png
40041-00000,Bike,SP23,HYDROMATIC,Pants,Gear,Black,TRUE,TRUE,40041-00000,40041-00000,40041-00001,40041-00002,40041-00003,40041-00004,40041-00005,40041-00006,28,30,32,34,36,38,40,169,169,CN,"80% Polyester
20% Nylon","Our Hydromatic collection of outerwear incorporates key features to battle tough riding conditions with a lightweight, aerodynamic fit. Stay warm and dry without sacrificing style and comfort.","• Mechanical Stretch Woven with 2.5 layer 10K/10K waterproof/breathable laminate
• Water Resistant Coating to minimize liquid penetration
• Cordura back saddle and knee panels for added abrasion resistance
• Fully taped seams keep you dry in wet conditions
• BOA System dial and lace technology for a lightweight, incrementally adjustable waist closure for the ideal fit
• Waterproof pocket zippers for added security of essentials
• Waterproof hem zippers to aid in dressing and removal with ease
• Stabilization pocket to store device or tool
• Silicone print on inner waistband to minimize slippage
• Aerodynamic fit for best riding performance
• Reflective logos for added visibility.",https://fs.amplifi.io//file?id=7b47ab5f-2918-4ac7-b4e4-65283fe7614e,https://fs.amplifi.io//file?id=7b47ab5f-2918-4ac7-b4e4-65283fe7614e&variant=thumb&extension=png
40042-00000,Bike,SP23,CORRIDOR,Stretch Windbreaker,Gear,Black,TRUE,TRUE,40042-00000,40042-00000,40042-00001,40042-00002,40042-00003,40042-00004,,,S,M,L,XL,2XL,,,99,99,TW,100% Nylon,Essentially Light This is a must-have in your riding bag. It's compact and highly effective for blocking the wind when you are giving full effort on the road or trails. The reflective logos aid in keeping you visible too.,"• Mechanical stretch woven micro rip-stop
• Water Resistant Coating to minimize liquid penetration
• Ideal for blocking wind on the road or trails
• Zippered side pockets for add security
• Microfiber wipe inside pocket to aid in keeping your eye wear clean
• Reflective taping and logos on front and back for visibility
• Embossed logo binding detail at body and sleeve hems
• Back venting for increased air flow
• Aerodynamic fit and drop tail hem for best riding performance",https://fs.amplifi.io//file?id=f7507309-1f5a-4cb9-ab52-c903ca72e551,https://fs.amplifi.io//file?id=f7507309-1f5a-4cb9-ab52-c903ca72e551&variant=thumb&extension=png
40043-00000,Bike,SP23,CORRIDOR,Stretch Vest,Gear,Black,TRUE,TRUE,40043-00000,40043-00000,40043-00001,40043-00002,40043-00003,40043-00004,,,S,M,L,XL,2XL,,,79,79,TW,100% Nylon,This is a must-have for your rides. It's compact and highly effective for blocking the wind when you are giving full effort on the road or trails. The reflective logos aid in keeping you visible too.,"• Mechanical stretch woven micro rip-stop
• Water Resistant Coating to minimize liquid penetration
• Ideal for blocking wind 
• Zippered side pocket for added security
• Back zippers allow access to jersey pockets
• Microfiber wipe inside pocket to aid in keeping your eye wear clean
• Reflective taping and logos on front and back for visibility
• Embossed logo binding detail at body hem
• Back venting for increased air flow
• Slim fit for best riding performance",https://fs.amplifi.io//file?id=1391cd5e-970c-4528-97f1-dba36f8e0ebe,https://fs.amplifi.io//file?id=1391cd5e-970c-4528-97f1-dba36f8e0ebe&variant=thumb&extension=png
40044-00000,Bike,SP23,ZEPHYR,Cooling Tank,Gear,Grey,TRUE,TRUE,40044-00000,40044-00000,40044-00001,,,,,,S/M,L/XL,,,,,,39,39,CN,"90% Nylon
8% Elastane
2% Polyester","This layering piece actually aids in lowering your body temperature on those extra hot training days. The tank wicks sweat away, while acting as a barrier between your body and jersey, allowing the breeze to keep you cool.","• Nylon/Elastane/Polyester yarns blended for the ideal cooling formula
• Light and functional material
• Durable with elasticity for comfort
• Optimal for any workout activity
• Quick dry properties
• Open knit design
• Jacquard logos",https://fs.amplifi.io//file?id=6cae6578-e778-4269-bb13-b884e9369449,https://fs.amplifi.io//file?id=6cae6578-e778-4269-bb13-b884e9369449&variant=thumb&extension=png
40045-00000,Bike,SP23,BASECAMP,Long Sleeve Base Layer,Gear,Black,TRUE,TRUE,40045-00000,40045-00000,40045-00001,40045-00002,40045-00003,40045-00004,,,S,M,L,XL,2XL,,,49,49,CN,"88% Polyester
12% Elastane",Don't let Mother Nature limit your performance! Fitted long sleeve base layer to keep you comfortable and warm on those cold weather days.,"• Yarns are infused with charcoal coffee particles that provide thermal insulation
• Yarns have anti-microbial properties providing powerful deodorizing effect
• Wicking polyester pulls moisture away from your skin keeping you dry
• Flat lock seam construction to minimize chafing
• Knit construction for increased mobility
• Heat transfer chest logo",https://fs.amplifi.io//file?id=168a351d-d4e3-43be-878e-d1860335ce25,https://fs.amplifi.io//file?id=168a351d-d4e3-43be-878e-d1860335ce25&variant=thumb&extension=png
40046-00000,Bike,SP23,BASECAMP,Sleeveless Base Layer,Gear,Black,TRUE,TRUE,40046-00000,40046-00000,40046-00001,40046-00002,40046-00003,40046-00004,,,S,M,L,XL,2XL,,,39,39,CN,"88% Polyester
12% Elastane","Don't let Mother Nature limit your performance! Fitted sleeveless base layer to keep your core comfortable and warm on those cold weather days, with the option to layer up your arms.","• Yarns are infused with charcoal coffee particles that provide thermal insulation
• Yarns have anti-microbial properties providing powerful deodorizing effect
• Wicking polyester pulls moisture away from your skin keeping you dry
• Flat lock seam construction to minimize chafing
• Knit construction for increased mobility",https://fs.amplifi.io//file?id=5f791ff5-b9b9-426d-87ab-e100f0db3935,https://fs.amplifi.io//file?id=5f791ff5-b9b9-426d-87ab-e100f0db3935&variant=thumb&extension=png
40047-00000,Bike,SP23,REVENANT,Bib Liner Shorts,Gear,Black,TRUE,TRUE,40047-00000,40047-00000,40047-00001,40047-00002,40047-00003,40047-00004,,,S,M,L,XL,2XL,,,109,109,CN,"92% Polyester
8% Elastane","Load and Go! Carry all your trail essentials while maintaining an aerodynamic look. For a quick ride around the neighborhood or long session with the crew, these bibs will keep you equipped, covered, comfortable and dry. Your most used necessities will be hidden, yet easily accessible.","• Polyester/Elastane mesh with effective quick dry and anti microbial properties
• Taped neckline and straps for seamless feel & to prevent chafing
• Flat-locked seams for maximum comfort & minimal chafing
• Back pocket to hold riding essentials
• Leg pockets for added storage
• Twill tape loop closures to secure shorts to bib
• 3” Nylon/Elastane/Silicone gripper cuffs for optimal stay support
• Premium quality chamois for maximum performance",https://fs.amplifi.io//file?id=0e649440-2ba2-4894-9839-5d152e6a2ff9,https://fs.amplifi.io//file?id=0e649440-2ba2-4894-9839-5d152e6a2ff9&variant=thumb&extension=png
40048-00000,Bike,SP23,CRUX,Liner Shorts,Gear,Black,TRUE,TRUE,40048-00000,40048-00000,40048-00001,40048-00002,40048-00003,40048-00004,40048-00005,40048-00006,28,30,32,34,36,38,40,49,49,CN,"92% Polyester
8% Elastane","Having this liner short keeps you dry and comfortable, which will allow you to have more fun for an extended period of time on your bike. Plus a separate liner short gives you the ability to buy a few pairs for those getaways you won't have access to a washer.","• Polyester/Elastane quick dry, anti-microbial mesh
• Brushed logo elastic waistband for comfort
• Flat-locked seams maximize comfort while minimizing chafing
• Premium chamois for max performance",https://fs.amplifi.io//file?id=e8bee883-0866-4041-b43d-d7aaea75392d,https://fs.amplifi.io//file?id=e8bee883-0866-4041-b43d-d7aaea75392d&variant=thumb&extension=png
40049-00000,Bike,SP23,CRUX,Youth Liner Shorts,Gear,Black,TRUE,TRUE,40049-00000,40049-00000,40049-00001,40049-00002,40049-00003,,,,22,24,26,28,,,,39,39,CN,"92% Polyester
8% Elastane","Having this liner short keeps you dry and comfortable, which will allow you to have more fun for an extended period of time on your bike. Plus a separate liner short gives you the ability to buy a few pairs for those getaways you won't have access to a washer.","• Polyester/Elastane quick dry, anti-microbial mesh
• Brushed logo elastic waistband for comfort
• Flat-locked seams maximize comfort while minimizing chafing
• Chamois for max performance",https://fs.amplifi.io//file?id=e8851cd5-9ed4-4eef-bf97-9ffc9679d9a1,https://fs.amplifi.io//file?id=e8851cd5-9ed4-4eef-bf97-9ffc9679d9a1&variant=thumb&extension=png
40050-00000,Bike,SP23,CRUX,Women's Liner Shorts,Gear,Black,TRUE,TRUE,40050-00000,40050-00000,40050-00001,40050-00002,40050-00003,,,,S,M,L,XL,,,,49,49,CN,"92% Polyester
8% Elastane","Having this liner short keeps you dry and comfortable, which will allow you to have more fun for an extended period of time on your bike. Plus a separate liner short gives you the ability to buy a few pairs for those getaways you won't have access to a washer.","• Polyester/Elastane quick dry, anti-microbial mesh
• Brushed logo elastic waistband for comfort
• Flat-locked seams maximize comfort while minimizing chafing
• Premium chamois for max performance",https://fs.amplifi.io//file?id=76704709-41cf-4fbd-a81f-dad648a09cbd,https://fs.amplifi.io//file?id=76704709-41cf-4fbd-a81f-dad648a09cbd&variant=thumb&extension=png
40051-00000,Bike,SP23,EXCEEDA,Short Sleeve Jersey,Gear,Black/Charcoal,TRUE,TRUE,40051-00000,40051-00000,40051-00001,40051-00002,40051-00003,40051-00004,,,S,M,L,XL,2XL,,,99,99,CN,"76% Polyester
24% Elastane",Our premium Lycra offers the perfect kit for crosstraining on a road ride or cross country mountain biking.,"• Polyester/Spandex mesh with moisture management properties
• Fade resistant sublimated graphics
• Full zip front
• Brushed elastic with silicone logo on inside back hem keeps jersey in place
• Multi-compartment back pocket with elastic opening for support
• Extra zippered pocket to secure valuables
• Reflective elements for added visibility",https://fs.amplifi.io//file?id=286ec223-6adc-464b-adab-c7fe1c28bc23,https://fs.amplifi.io//file?id=286ec223-6adc-464b-adab-c7fe1c28bc23&variant=thumb&extension=png
40052-00000,Bike,SP23,EXCEEDA,Bib Shorts,Gear,Black/Charcoal,TRUE,TRUE,40052-00000,40052-00000,40052-00001,40052-00002,40052-00003,,,,S,M,L,XL,,,,129,129,CN,"73% Nylon
27% Elastane",Our premium Lycra offers the perfect kit for cross-training on a road ride or cross country mountain biking.,"• Nylon/Spandex dyed paneling for bold color and no grin through
• Mesh back panel for breathability
• Silicone-backed cuffs maintain placement while riding
• Heat Transfer logos
• Flat locked seams to minimize chafing and increase comfort
• Premium chamois with moisture management and odor-controlling properties
• Reflective elements for added visibility",https://fs.amplifi.io//file?id=9fb6715d-17a2-4a91-be42-245a9bbfb322,https://fs.amplifi.io//file?id=9fb6715d-17a2-4a91-be42-245a9bbfb322&variant=thumb&extension=png
40053-00000,Bike,SP23,EXCEEDA,Women's Short Sleeve Jersey,Gear,Black/Charcoal,TRUE,TRUE,40053-00000,40053-00000,40053-00001,40053-00002,40053-00003,,,,S,M,L,XL,,,,99,99,CN,"76% Polyester
24% Elastane",Our premium Lycra offers the perfect kit for cross-training on a road ride or cross country mountain biking.,"• Polyester/Spandex mesh with moisture management properties
• Fade resistant sublimated graphics
• Full zip front
• Brushed elastic with silicone logo on inside back hem keeps jersey in place
• Multi-compartment back pocket with elastic opening for support
• Reflective elements for added visibility",https://fs.amplifi.io//file?id=1e470264-ec7d-4ef7-9df4-eca1bad03b7c,https://fs.amplifi.io//file?id=1e470264-ec7d-4ef7-9df4-eca1bad03b7c&variant=thumb&extension=png
40054-00000,Bike,SP23,EXCEEDA,Women's Bib Shorts,Gear,Black/Charcoal,TRUE,TRUE,40054-00000,40054-00000,40054-00001,40054-00002,40054-00003,,,,S,M,L,XL,,,,129,129,CN,"73% Nylon
27% Elastane",Our premium Lycra offers the perfect kit for cross-training on a road ride or cross country mountain biking.,"• Nylon/Spandex dyed paneling for bold color and no grin through
• Mash back panel for breathability
• Silicone-backed cuffs maintain placement while riding
• Heat Transfer logos
• Flat locked seams to minimize chafing and increase comfort
• Premium chamois with moisture management and odor controlling properties
• Reflective elements for added visibility",https://fs.amplifi.io//file?id=67854a9a-9ae9-4118-9bf1-0b5836b64f3b,https://fs.amplifi.io//file?id=67854a9a-9ae9-4118-9bf1-0b5836b64f3b&variant=thumb&extension=png
40055-00000,Bike,SP23,EXCEEDA,Arm Sleeve,Gear,Black,TRUE,TRUE,40055-00000,40055-00000,40055-00001,40055-00002,40055-00003,40055-00004,,,S,M,L,XL,2XL,,,20,20,CN,"76% Polyester
24% Elastane","Whether you're looking for sun protection or to minimize the chill on cold days, this arm sleeve is the perfect layering piece to add to your collection.","• Polyester/Spandex mesh with moisture management properties
• Brushed Elastic with Silicone logo on top opening keeps sleeve in place
• Flat locked seams to minimize chafing and increase comfort
• Reflective logos for added visibility",https://fs.amplifi.io//file?id=0709e223-507d-43d9-ba91-8a54bc0a1e16,https://fs.amplifi.io//file?id=0709e223-507d-43d9-ba91-8a54bc0a1e16&variant=thumb&extension=png
40055-00005,Bike,SP23,EXCEEDA,Arm Sleeve,Gear,White,TRUE,TRUE,40055-00005,40055-00005,40055-00006,40055-00007,40055-00008,40055-00009,,,S,M,L,XL,2XL,,,20,20,CN,"76% Polyester
24% Elastane","Whether you're looking for sun protection or to minimize the chill on cold days, this arm sleeve is the perfect layering piece to add to your collection.","• Polyester/Spandex mesh with moisture management properties
• Brushed Elastic with Silicone logo on top opening keeps sleeve in place
• Flat locked seams to minimize chafing and increase comfort
• Reflective logos for added visibility",https://fs.amplifi.io//file?id=97aeff12-96a7-42f4-af93-44fb1eef34b3,https://fs.amplifi.io//file?id=97aeff12-96a7-42f4-af93-44fb1eef34b3&variant=thumb&extension=png
40056-00000,Bike,SP23,EXCEEDA,Knee Sleeve,Gear,Black,TRUE,TRUE,40056-00000,40056-00000,40056-00001,40056-00002,40056-00003,40056-00004,,,S,M,L,XL,2XL,,,25,25,CN,"73% Nylon
27% Elastane","Whether you're looking for sun protection or to minimize the chill on cold days (especially for knees), this leg sleeve is the perfect layering piece to add to your collection.","• Nylon/Spandex jersey with moisture management properties
• Brushed Elastic with Silicone logo on top opening keeps sleeve in place
• Flat locked seams to minimize chafing and increase comfort
• Reflective logos for added visibility",https://fs.amplifi.io//file?id=67bb11ea-6e65-4939-85e9-6b5932e57c32,https://fs.amplifi.io//file?id=67bb11ea-6e65-4939-85e9-6b5932e57c32&variant=thumb&extension=png
40057-00000,Bike,SP23,EXCEEDA,Road Cap,Gear,Black,TRUE,TRUE,40057-00000,40057-00000,,,,,,,OS,,,,,,,25,25,CN,"76% Polyester
24% Elastane","Whether you're looking to keep your helmet clean, reduce the sun in your eyes or head warm on cold days, this cap is for you.","• Polyester/Spandex mesh with moisture management properties
• Taped seams for added comfort
• Elastic back for flexible fit
• Visor can be used up or down depending on sun or style preference
• Printed logos on top & bottom of visor",https://fs.amplifi.io//file?id=11755bb7-34d7-48de-8061-1dabf9d7d303,https://fs.amplifi.io//file?id=11755bb7-34d7-48de-8061-1dabf9d7d303&variant=thumb&extension=png
