Hash,Division,Collection,ProductNameDescription,ProductNameDescriptionSecondary,ProductCategory,ProductDepartment,LaunchSeason,SeasonsCarried,ProductType,ProductSubtype,ProductDetails,YouthWomen,Colorway,CarryOver,Essential,SKUCode,ColorwaySKU0,ColorwaySKU1,ColorwaySKU2,ColorwaySKU3,ColorwaySKU4,ColorwaySKU5,ColorwaySKU6,Size0,Size1,Size2,Size3,Size4,Size5,Size6,USRetailMSRP,EURetailMSRP,CountryCode,Composition,ProductDescription,ProductFeatures,primaryImageURL,thumbURL,imageURL0,imageURL1,imageURL2,imageURL3,imageURL4,imageURL5,imageURL6,imageURL7,imageURL8,imageURL9,imageURL10
Z-40019-00005,Bike,#N/A,AIRMATIC LE,Long Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Black Camo,#N/A,FALSE,40019-00005,40019-00005,40019-00006,40019-00007,40019-00008,40019-00009,,,,,,,,,,64,64,TW,100% Polyester,Airmatic All Mountain riding gear provides all day comfort for any trail conditions you encounter. Airmatic mesh offers the same exceptional quality as Airmatic. The fabric offers more breathability to achieve peak performance.,"• Technical heather jersey fabric with a casual t-shirt look and feel
• Fade resistant all over sublimated graphics
• Reflective logo on back for increased visibility
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=856d5148-d158-4709-8ade-91daa4edb75a,https://fs.amplifi.io//file?id=856d5148-d158-4709-8ade-91daa4edb75a&variant=thumb&extension=png,https://fs.amplifi.io//file?id=426d34d2-06a8-41f8-be73-101c6300d38c,https://fs.amplifi.io//file?id=5b3095bd-5803-4682-8a9d-5efbe64f8ae8,https://fs.amplifi.io//file?id=856d5148-d158-4709-8ade-91daa4edb75a,https://fs.amplifi.io//file?id=1033c36c-3e92-4ed1-a92c-ec53d080c15b,,,,,,,
Z-40019-00010,Bike,#N/A,AIRMATIC,Long Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Dijon,#N/A,FALSE,40019-00010,40019-00010,40019-00011,40019-00012,40019-00013,40019-00014,,,,,,,,,,59,59,TW,100% Polyester,Airmatic All Mountain riding gear provides all day comfort for any trail conditions you encounter. Airmatic mesh offers the same exceptional quality as Airmatic. The fabric offers more breathability to achieve peak performance.,"• Technical heather jersey fabric with a casual t-shirt look and feel
• Fade resistant all over sublimated graphics
• Reflective logo on back for increased visibility
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=f125675a-5105-41b6-8505-7b2350d15428,https://fs.amplifi.io//file?id=f125675a-5105-41b6-8505-7b2350d15428&variant=thumb&extension=png,https://fs.amplifi.io//file?id=cb3c82c9-cf01-4fb5-bca0-455b7499acdd,https://fs.amplifi.io//file?id=f125675a-5105-41b6-8505-7b2350d15428,https://fs.amplifi.io//file?id=5ba3b0af-9d95-4c44-b340-feb3ade4a40d,https://fs.amplifi.io//file?id=482d5997-d651-4a22-9acc-18dc36bc3a71,,,,,,,
Z-40019-00015,Bike,#N/A,AIRMATIC,Long Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Slate Blue,#N/A,FALSE,40019-00015,40019-00015,40019-00016,40019-00017,40019-00018,40019-00019,,,,,,,,,,59,59,TW,100% Polyester,Airmatic All Mountain riding gear provides all day comfort for any trail conditions you encounter. Airmatic mesh offers the same exceptional quality as Airmatic. The fabric offers more breathability to achieve peak performance.,"• Technical heather jersey fabric with a casual t-shirt look and feel
• Fade resistant all over sublimated graphics
• Reflective logo on back for increased visibility
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=5f21f5cb-4290-4cda-a957-26aa6fbcecd8,https://fs.amplifi.io//file?id=5f21f5cb-4290-4cda-a957-26aa6fbcecd8&variant=thumb&extension=png,https://fs.amplifi.io//file?id=5f21f5cb-4290-4cda-a957-26aa6fbcecd8,https://fs.amplifi.io//file?id=4d656b29-90f7-4181-96c4-d0e09fcb3b21,https://fs.amplifi.io//file?id=6087a6aa-1fec-4320-9e81-79dca067d87b,https://fs.amplifi.io//file?id=24c67eac-70bd-4177-bd8a-44160dbbe481,,,,,,,
Z-40021-00007,Bike,#N/A,AIRMATIC LE,Shorts,Gear,Soft Goods,SP22,"FA22,SP22",Bottoms,Shorts,,,Black Camo,#N/A,FALSE,40021-00007,40021-00007,40021-00008,40021-00009,40021-00010,40021-00011,40021-00012,40021-00013,,,,,,,,109,109,CN,"96% Polyester
4% Elastane",Airmatic All Mountain riding gear provides all day comfort for most trail conditions you encounter. Airmatic strikes the perfect balance of fit and function and is constructed with exceptional materials for long lasting wear.,"• DWR mid-weight polyester/spandex 4-way stretch woven fabric
• Stretch-mesh back panel increases airflow and mobility
• Mountaineering-inspired adjustable closure for the perfect fit
• Silicone print on inner waistband to minimize slippage
• Zipper pockets for security of essentials
• Stabilization pocket to store device or tool",https://fs.amplifi.io//file?id=b534f0c2-d681-4e70-8137-41a6a6e19c93,https://fs.amplifi.io//file?id=b534f0c2-d681-4e70-8137-41a6a6e19c93&variant=thumb&extension=png,https://fs.amplifi.io//file?id=fb1f395c-06fb-4bf6-b5ba-d3c15759cd7e,https://fs.amplifi.io//file?id=43eb7446-2f89-4402-9dcc-306bc9f3d6e4,https://fs.amplifi.io//file?id=b534f0c2-d681-4e70-8137-41a6a6e19c93,https://fs.amplifi.io//file?id=2411f176-d1f0-444e-a543-25e8976cb793,,,,,,,
Z-40023-00004,Bike,#N/A,AIRMATIC,Women's Shorts,Gear,Soft Goods,SP22,"FA22,SP22",Bottoms,Shorts,,Womens,Lavender,#N/A,FALSE,40023-00004,40023-00004,40023-00005,40023-00006,40023-00007,,,,,,,,,,,99,99,CN,"96% Polyester
4% Elastane",The Women's Airmatic all-mountain riding apparel provides all day comfort without sacrificing style. Purpose built to offer an exceptional fit for female riders with just the right amount of technical features makes it the perfect choice.,"• DWR mid-weight polyester/spandex 4-way stretch woven fabric
• Stretch-mesh back panel increases airflow and mobility
• Mountaineering-inspired adjustable closure for the perfect fit
• Silicone print on inner waistband to minimize slippage
• Zipper pockets for security of essentials
• Stabilization pocket to store device or tool",https://fs.amplifi.io//file?id=870d6446-ab3b-463a-8627-62f518dcbfea,https://fs.amplifi.io//file?id=870d6446-ab3b-463a-8627-62f518dcbfea&variant=thumb&extension=png,https://fs.amplifi.io//file?id=d3039237-912c-4d80-91ba-e00164865795,https://fs.amplifi.io//file?id=870d6446-ab3b-463a-8627-62f518dcbfea,https://fs.amplifi.io//file?id=7c9dda04-f809-451e-a321-f8ab8e4785d6,https://fs.amplifi.io//file?id=4d16e078-0559-42ae-a2cd-b00188a5d993,,,,,,,
Z-40023-00008,Bike,#N/A,AIRMATIC,Women's Shorts,Gear,Soft Goods,SP22,"FA22,SP22",Bottoms,Shorts,,Womens,Slate Blue,#N/A,FALSE,40023-00008,40023-00008,40023-00009,40023-00010,40023-00011,,,,,,,,,,,99,99,CN,"96% Polyester
4% Elastane",The Women's Airmatic all-mountain riding apparel provides all day comfort without sacrificing style. Purpose built to offer an exceptional fit for female riders with just the right amount of technical features makes it the perfect choice.,"• DWR mid-weight polyester/spandex 4-way stretch woven fabric
• Stretch-mesh back panel increases airflow and mobility
• Mountaineering-inspired adjustable closure for the perfect fit
• Silicone print on inner waistband to minimize slippage
• Zipper pockets for security of essentials
• Stabilization pocket to store device or tool",https://fs.amplifi.io//file?id=cfe17870-7736-41bb-a21f-316df07231f1,https://fs.amplifi.io//file?id=cfe17870-7736-41bb-a21f-316df07231f1&variant=thumb&extension=png,https://fs.amplifi.io//file?id=cfe17870-7736-41bb-a21f-316df07231f1,https://fs.amplifi.io//file?id=58cf8ade-c363-4d15-aa4d-29561a8ee956,https://fs.amplifi.io//file?id=d003ea33-6bce-4064-92a2-c84d43f4272b,https://fs.amplifi.io//file?id=b38fb480-3c25-408f-8732-c5cfcd96e164,,,,,,,
Z-40025-00007,Bike,#N/A,AIRMATIC LE,Pants,Gear,Soft Goods,SP22,"FA22,SP22",Bottoms,Pants,,,Black Camo,#N/A,FALSE,40025-00007,40025-00007,40025-00008,40025-00009,40025-00010,40025-00011,40025-00012,40025-00013,,,,,,,,129,129,CN,"96% Polyester
4% Elastane",Airmatic All Mountain riding gear provides all day comfort for most trail conditions you encounter. Airmatic strikes the perfect balance of fit and function and is constructed with exceptional materials for long lasting wear.,"• DWR mid-weight polyester/spandex 4-way stretch woven fabric
• Stretch mesh gusset fly with adjustable metal hook closure for the perfect fit
• Tapered leg reduces drag and articulated knee improves mobility
• Silicone print on inner waistband to minimize slippage
• Zipper pockets for security of essentials
• Stabilization pocket to store device or tool",https://fs.amplifi.io//file?id=4dafb125-9f3c-4714-8e23-5cc2c05310b0,https://fs.amplifi.io//file?id=4dafb125-9f3c-4714-8e23-5cc2c05310b0&variant=thumb&extension=png,https://fs.amplifi.io//file?id=28b3ea77-3818-4ecc-96e0-9d53e7b22180,https://fs.amplifi.io//file?id=de3f1e39-5b9c-4235-bd3b-b847e1b65432,https://fs.amplifi.io//file?id=b22730e2-bd30-4cff-acc9-0e0dd720b011,https://fs.amplifi.io//file?id=4dafb125-9f3c-4714-8e23-5cc2c05310b0,,,,,,,
Z-40027-00000,Bike,#N/A,RIDECAMP,Short Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Black/Forest Green,#N/A,FALSE,40027-00000,40027-00000,40027-00001,40027-00002,40027-00003,40027-00004,,,,,,,,,,39,39,TW,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• Polyester mesh fabric with moisture management and anti-microbial properties
• Screen-printed graphics
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=6cfa20cd-7adf-4938-8909-c2b4ddc470e6,https://fs.amplifi.io//file?id=6cfa20cd-7adf-4938-8909-c2b4ddc470e6&variant=thumb&extension=png,https://fs.amplifi.io//file?id=6cfa20cd-7adf-4938-8909-c2b4ddc470e6,https://fs.amplifi.io//file?id=9fa0f485-67dd-4631-896a-c3035658aef8,https://fs.amplifi.io//file?id=26a937d2-ec3d-4e20-a99b-1d095c6386b9,https://fs.amplifi.io//file?id=bf57301b-fa7a-415b-a249-af0412010c8f,,,,,,,
Z-40027-00005,Bike,#N/A,RIDECAMP,Short Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Black/Charcoal,#N/A,TRUE,40027-00005,40027-00005,40027-00006,40027-00007,40027-00008,40027-00009,,,,,,,,,,39,39,TW,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• Polyester mesh fabric with moisture management and anti-microbial properties
• Screen-printed graphics
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=ba2cb706-de90-4ba7-884c-980e2d3455c2,https://fs.amplifi.io//file?id=ba2cb706-de90-4ba7-884c-980e2d3455c2&variant=thumb&extension=png,https://fs.amplifi.io//file?id=ba2cb706-de90-4ba7-884c-980e2d3455c2,https://fs.amplifi.io//file?id=53e185f6-771b-4b17-9333-680ee936043c,https://fs.amplifi.io//file?id=262058b2-3459-4d16-9285-3aca8291e53e,,,,,,,,
Z-40027-00010,Bike,#N/A,RIDECAMP,Short Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Lt. Slate Blue/Navy,#N/A,TRUE,40027-00010,40027-00010,40027-00011,40027-00012,40027-00013,40027-00014,,,,,,,,,,39,39,TW,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• Polyester mesh fabric with moisture management and anti-microbial properties
• Screen-printed graphics
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=e64c37f3-1cfa-4f1f-a671-66bf644d25aa,https://fs.amplifi.io//file?id=e64c37f3-1cfa-4f1f-a671-66bf644d25aa&variant=thumb&extension=png,https://fs.amplifi.io//file?id=b88a2a65-9e64-40d7-b7b4-ec7cfeea5e7b,https://fs.amplifi.io//file?id=e64c37f3-1cfa-4f1f-a671-66bf644d25aa,,,,,,,,,
Z-40027-00015,Bike,#N/A,RIDECAMP,Short Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Terracotta/Black,#N/A,TRUE,40027-00015,40027-00015,40027-00016,40027-00017,40027-00018,40027-00019,,,,,,,,,,39,39,TW,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• Polyester mesh fabric with moisture management and anti-microbial properties
• Screen-printed graphics
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=24f90ddb-28df-4f67-b26f-cfce411ff409,https://fs.amplifi.io//file?id=24f90ddb-28df-4f67-b26f-cfce411ff409&variant=thumb&extension=png,https://fs.amplifi.io//file?id=e0e3ae5a-a8c1-4f4c-8353-e7d481514aa4,https://fs.amplifi.io//file?id=35e69e97-532f-42bd-b04b-051d854f2cf2,https://fs.amplifi.io//file?id=24f90ddb-28df-4f67-b26f-cfce411ff409,https://fs.amplifi.io//file?id=447a64e8-b94c-4064-a913-f977f2a470f2,,,,,,,
Z-40029-00014,Bike,#N/A,RIDECAMP,Shorts,Gear,Soft Goods,SP22,"FA22,SP22",Bottoms,Shorts,,,Forest Green,#N/A,FALSE,40029-00014,40029-00014,40029-00015,40029-00016,40029-00017,40029-00018,40029-00019,40029-00020,,,,,,,,69,69,CN,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• DWR Polyester 2-way mechanical stretch twill fabric
• Stretch mesh fly with adjustable snap waist closure
• Velcro cargo pocket and zipper pocket for security of essentials
• Reflective tape for increased visibility",https://fs.amplifi.io//file?id=4a86abf3-64a3-455c-b100-0f397e172925,https://fs.amplifi.io//file?id=4a86abf3-64a3-455c-b100-0f397e172925&variant=thumb&extension=png,https://fs.amplifi.io//file?id=089b9636-6847-4712-b92c-77a616f498a9,https://fs.amplifi.io//file?id=4a86abf3-64a3-455c-b100-0f397e172925,https://fs.amplifi.io//file?id=2bd866b3-6753-4f93-abfc-4d54cc20fe54,https://fs.amplifi.io//file?id=33c5b62c-e95d-427e-9c21-e65e7e0c4674,,,,,,,
Z-40029-00021,Bike,#N/A,RIDECAMP,Shorts,Gear,Soft Goods,SP22,"FA22,SP22",Bottoms,Shorts,,,Navy,#N/A,TRUE,40029-00021,40029-00021,40029-00022,40029-00023,40029-00024,40029-00025,40029-00026,40029-00027,,,,,,,,69,69,CN,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• DWR Polyester 2-way mechanical stretch twill fabric
• Stretch mesh fly with adjustable snap waist closure
• Velcro cargo pocket and zipper pocket for security of essentials
• Reflective tape for increased visibility",https://fs.amplifi.io//file?id=ad67c139-81cb-4cc1-95b3-2a7000a0c7d1,https://fs.amplifi.io//file?id=ad67c139-81cb-4cc1-95b3-2a7000a0c7d1&variant=thumb&extension=png,https://fs.amplifi.io//file?id=3f8428f3-1480-4ed0-a354-7611243fab83,https://fs.amplifi.io//file?id=665e82f6-90d5-49f4-93ae-29811af350b4,https://fs.amplifi.io//file?id=ad67c139-81cb-4cc1-95b3-2a7000a0c7d1,,,,,,,,
Z-40031-00000,Bike,#N/A,RIDECAMP,Youth Short Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,Youth,Black/Charcoal,#N/A,TRUE,40031-00000,40031-00000,40031-00001,40031-00002,40031-00003,,,,,,,,,,,34,34,TW,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• Polyester mesh fabric with moisture management and anti-microbial properties
• Screen-printed graphics
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=e82d2d73-0b4b-4399-b710-7a2a717999a5,https://fs.amplifi.io//file?id=e82d2d73-0b4b-4399-b710-7a2a717999a5&variant=thumb&extension=png,https://fs.amplifi.io//file?id=e82d2d73-0b4b-4399-b710-7a2a717999a5,https://fs.amplifi.io//file?id=68af0e68-cd98-484a-bdfb-aa488fdcc3c8,,,,,,,,,
Z-40031-00004,Bike,#N/A,RIDECAMP,Youth Short Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,Youth,Lt. Slate Blue/Navy,#N/A,TRUE,40031-00004,40031-00004,40031-00005,40031-00006,40031-00007,,,,,,,,,,,34,34,TW,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• Polyester mesh fabric with moisture management and anti-microbial properties
• Screen-printed graphics
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=aa24bd49-4145-4b49-82f9-c6c9b99ac2df,https://fs.amplifi.io//file?id=aa24bd49-4145-4b49-82f9-c6c9b99ac2df&variant=thumb&extension=png,https://fs.amplifi.io//file?id=aa24bd49-4145-4b49-82f9-c6c9b99ac2df,https://fs.amplifi.io//file?id=e7f94211-ec37-4a44-be2d-fe5e0212be83,,,,,,,,,
Z-40033-00004,Bike,#N/A,RIDECAMP,Youth Shorts,Gear,Soft Goods,SP22,"FA22,SP22",Bottoms,Shorts,,Youth,Navy,#N/A,TRUE,40033-00004,40033-00004,40033-00005,40033-00006,40033-00007,,,,,,,,,,,64,64,CN,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• DWR Polyester 2-way mechanical stretch twill fabric
• Stretch mesh fly with adjustable snap waist closure
• Velcro cargo pocket and zipper pocket for security of essentials
• Reflective logo for increased visibility",https://fs.amplifi.io//file?id=dde7cf7f-e0d3-46fc-8692-cb48adccbc59,https://fs.amplifi.io//file?id=dde7cf7f-e0d3-46fc-8692-cb48adccbc59&variant=thumb&extension=png,https://fs.amplifi.io//file?id=c7b7a37c-549f-470c-84a6-bff445621796,https://fs.amplifi.io//file?id=dde7cf7f-e0d3-46fc-8692-cb48adccbc59,,,,,,,,,
Z-40035-00004,Bike,#N/A,RIDECAMP,Women's Short Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,Womens,Charcoal/Forest Green,#N/A,FALSE,40035-00004,40035-00004,40035-00005,40035-00006,40035-00007,,,,,,,,,,,39,39,TW,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• Polyester mesh fabric with moisture management and anti-microbial properties
• Screen-printed graphics
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=cd87e48a-546d-4ea1-922f-d0311a091fa3,https://fs.amplifi.io//file?id=cd87e48a-546d-4ea1-922f-d0311a091fa3&variant=thumb&extension=png,https://fs.amplifi.io//file?id=adb6f5e8-f6ac-4a51-bb59-9cc915bed9bf,https://fs.amplifi.io//file?id=cd87e48a-546d-4ea1-922f-d0311a091fa3,https://fs.amplifi.io//file?id=a33e3dba-13ac-47de-9e45-6a4167a17ee1,https://fs.amplifi.io//file?id=f4583f1b-a543-4380-871d-0ed89623fcd0,,,,,,,
Z-40035-00008,Bike,#N/A,RIDECAMP,Women's Short Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,Womens,White/Black,#N/A,TRUE,40035-00008,40035-00008,40035-00009,40035-00010,40035-00011,,,,,,,,,,,39,39,TW,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• Polyester mesh fabric with moisture management and anti-microbial properties
• Screen-printed graphics
• Drop tail provides full coverage in riding position
• Internal goggle wipe keeps your eye protection clean",https://fs.amplifi.io//file?id=67b61add-d196-40e4-8970-1d6e5354f8f3,https://fs.amplifi.io//file?id=67b61add-d196-40e4-8970-1d6e5354f8f3&variant=thumb&extension=png,https://fs.amplifi.io//file?id=67b61add-d196-40e4-8970-1d6e5354f8f3,https://fs.amplifi.io//file?id=d0681005-c5f8-41ef-b8ce-bbd34a7f5c7f,,,,,,,,,
Z-40037-00004,Bike,#N/A,RIDECAMP,Women's Shorts,Gear,Soft Goods,SP22,"FA22,SP22",Bottoms,Shorts,,Womens,Forest Green,#N/A,FALSE,40037-00004,40037-00004,40037-00005,40037-00006,40037-00007,,,,,,,,,,,69,69,CN,100% Polyester,"Ridecamp All Mountain Riding gear provides exceptional performance and comfort and a value that will keep you on the trails longer. Loaded with essential features and finished with a clean design, the Ridecamp is the perfect all-around gear.","• DWR Polyester 2-way mechanical stretch twill fabric
• Zipper fly with adjustable snap waist closure
• Zipper pockets for security of essentials
• Reflective logo for increased visibility",https://fs.amplifi.io//file?id=29c5ec71-a06a-4290-b866-99723f6f657e,https://fs.amplifi.io//file?id=29c5ec71-a06a-4290-b866-99723f6f657e&variant=thumb&extension=png,https://fs.amplifi.io//file?id=a8626fab-f234-47ac-98a9-f6da1c434808,https://fs.amplifi.io//file?id=1fbab8bb-bc5c-4615-aa8e-84227c0dcada,https://fs.amplifi.io//file?id=1118e34b-9798-4ff6-89fa-5477936e35a7,https://fs.amplifi.io//file?id=29c5ec71-a06a-4290-b866-99723f6f657e,,,,,,,
Z-40051-00005,Bike,#N/A,EXCEEDA,Short Sleeve Jersey,Gear,Soft Goods,SP22,"FA22,SP22",Tops,Jersey,,,Orange,#N/A,FALSE,40051-00005,40051-00005,40051-00006,40051-00007,40051-00008,40051-00009,,,,,,,,,,99,99,CN,"76% Polyester
24% Elastane",Our premium Lycra offers the perfect kit for crosstraining on a road ride or cross country mountain biking.,"• Polyester/Spandex mesh with moisture management properties
• Fade resistant sublimated graphics
• Full zip front
• Brushed elastic with silicone logo on inside back hem keeps jersey in place
• Multi-compartment back pocket with elastic opening for support
• Extra zippered pocket to secure valuables
• Reflective elements for added visibility",https://fs.amplifi.io//file?id=b27e9a29-7797-440e-8d05-1e5b30640f60,https://fs.amplifi.io//file?id=b27e9a29-7797-440e-8d05-1e5b30640f60&variant=thumb&extension=png,https://fs.amplifi.io//file?id=b27e9a29-7797-440e-8d05-1e5b30640f60,https://fs.amplifi.io//file?id=b0b399cc-e0a7-4bdb-a8af-3a27af63658c,https://fs.amplifi.io//file?id=8c231e88-e90d-4158-932d-4c04351c4aeb,https://fs.amplifi.io//file?id=b8ce2fc3-b6af-4d46-b0b0-74e912c3534d,,,,,,,
Z-40052-00004,Bike,#N/A,EXCEEDA,Bib Shorts,Gear,Soft Goods,SP22,"FA22,SP22",Bibs,Regular,,,Black/White,#N/A,FALSE,40052-00004,40052-00004,40052-00005,40052-00006,40052-00007,,,,,,,,,,,129,129,CN,"73% Nylon
27% Elastane",Our premium Lycra offers the perfect kit for cross-training on a road ride or cross country mountain biking.,"• Nylon/Spandex dyed paneling for bold color and no grin through
• Mesh back panel for breathability
• Silicone-backed cuffs maintain placement while riding
• Heat Transfer logos
• Flat locked seams to minimize chafing and increase comfort
• Premium chamois with moisture management and odor-controlling properties
• Reflective elements for added visibility",https://fs.amplifi.io//file?id=a546a249-efc5-431f-9a97-0ae646429f6e,https://fs.amplifi.io//file?id=a546a249-efc5-431f-9a97-0ae646429f6e&variant=thumb&extension=png,https://fs.amplifi.io//file?id=a546a249-efc5-431f-9a97-0ae646429f6e,https://fs.amplifi.io//file?id=70ae367a-47b6-400b-b287-0ceb9c10bdce,,,,,,,,,
