Hash,Division,Collection,ProductNameDescription,ProductCategory,Colorway,CarryOver,Essential,SKUCode,ColorwaySKU0,ColorwaySKU1,ColorwaySKU2,ColorwaySKU3,ColorwaySKU4,ColorwaySKU5,ColorwaySKU6,Size0,Size1,Size2,Size3,Size4,Size5,Size6,USRetailMSRP,EURetailMSRP,CountryCode,Composition,ProductDescription,ProductFeatures
10011-00000,"Bike, Moto",SP23,RIDECAMP Gloves,Gloves,Army Green/Black,TRUE,TRUE,10011-00000,10011-00000,10011-00001,10011-00002,10011-00003,10011-00004,,,S,M,L,XL,2XL,,,24.5,24.5,VN,"77% Nylon
12% Polyurethane (PU)
6% Elastane
5% Rubber","Never Settle. Whether you're shredding trails or sending it big on the track, the performance and quality will withstand your best efforts with this modest glove. Give it your all.","• Embossed ergonomic slip-on cuff tailored to accommodate training watch
• Nylon/Spandex top hand provides comfort and flexibility
• Single-layer Clarino® palm
• Stretch finger gussets
• Silicon printed palm and fingers improve grip and lever traction
• Integrated tech-thread keeps you connected with your digital device"
10011-00005,"Bike, Moto",SP23,RIDECAMP Gloves,Gloves,Black,TRUE,TRUE,10011-00005,10011-00005,10011-00006,10011-00007,10011-00008,10011-00009,,,S,M,L,XL,2XL,,,24.5,24.5,VN,"77% Nylon
12% Polyurethane (PU)
6% Elastane
5% Rubber","Never Settle. Whether you're shredding trails or sending it big on the track, the performance and quality will withstand your best efforts with this modest glove. Give it your all.","• Embossed ergonomic slip-on cuff tailored to accommodate training watch
• Nylon/Spandex top hand provides comfort and flexibility
• Single-layer Clarino® palm
• Stretch finger gussets
• Silicon printed palm and fingers improve grip and lever traction
• Integrated tech-thread keeps you connected with your digital device"
10011-00010,"Bike, Moto",SP23,RIDECAMP Gloves,Gloves,Fluo Yellow,TRUE,TRUE,10011-00010,10011-00010,10011-00011,10011-00012,10011-00013,10011-00014,,,S,M,L,XL,2XL,,,24.5,24.5,VN,"77% Nylon
12% Polyurethane (PU)
6% Elastane
5% Rubber","Never Settle. Whether you're shredding trails or sending it big on the track, the performance and quality will withstand your best efforts with this modest glove. Give it your all.","• Embossed ergonomic slip-on cuff tailored to accommodate training watch
• Nylon/Spandex top hand provides comfort and flexibility
• Single-layer Clarino® palm
• Stretch finger gussets
• Silicon printed palm and fingers improve grip and lever traction
• Integrated tech-thread keeps you connected with your digital device"
10011-00015,"Bike, Moto",SP23,RIDECAMP Gloves,Gloves,Navy/Slate Blue,TRUE,TRUE,10011-00015,10011-00015,10011-00016,10011-00017,10011-00018,10011-00019,,,S,M,L,XL,2XL,,,24.5,24.5,VN,"77% Nylon
12% Polyurethane (PU)
6% Elastane
5% Rubber","Never Settle. Whether you're shredding trails or sending it big on the track, the performance and quality will withstand your best efforts with this modest glove. Give it your all.","• Embossed ergonomic slip-on cuff tailored to accommodate training watch
• Nylon/Spandex top hand provides comfort and flexibility
• Single-layer Clarino® palm
• Stretch finger gussets
• Silicon printed palm and fingers improve grip and lever traction
• Integrated tech-thread keeps you connected with your digital device"
10011-00020,"Bike, Moto",SP23,RIDECAMP Gloves,Gloves,Red,TRUE,TRUE,10011-00020,10011-00020,10011-00021,10011-00022,10011-00023,10011-00024,,,S,M,L,XL,2XL,,,24.5,24.5,VN,"77% Nylon
12% Polyurethane (PU)
6% Elastane
5% Rubber","Never Settle. Whether you're shredding trails or sending it big on the track, the performance and quality will withstand your best efforts with this modest glove. Give it your all.","• Embossed ergonomic slip-on cuff tailored to accommodate training watch
• Nylon/Spandex top hand provides comfort and flexibility
• Single-layer Clarino® palm
• Stretch finger gussets
• Silicon printed palm and fingers improve grip and lever traction
• Integrated tech-thread keeps you connected with your digital device"
10012-00000,"Bike, Moto",SP23,RIDECAMP Youth Gloves,Gloves,Black/Charcoal,TRUE,TRUE,10012-00000,10012-00000,10012-00001,10012-00002,10012-00003,,,,S,M,L,XL,,,,24.5,24.5,VN,"77% Nylon
12% Polyurethane (PU)
6% Elastane
5% Rubber","Never Settle. Whether you're shredding trails or sending it big on the track, the performance and quality will withstand your best efforts with this modest glove. Give it your all.","•  Embossed ergonomic slip-on cuff tailored to accommodate training watch
• Nylon/Spandex top hand provides comfort and flexibility
• Single-layer Clarino® palm
• Stretch finger gussets
• Silicon printed palm and fingers improve grip and lever traction
• Integrated tech-thread keeps you connected with your digital device"
10012-00004,"Bike, Moto",SP23,RIDECAMP Youth Gloves,Gloves,Red,TRUE,TRUE,10012-00004,10012-00004,10012-00005,10012-00006,10012-00007,,,,S,M,L,XL,,,,24.5,24.5,VN,"77% Nylon
12% Polyurethane (PU)
6% Elastane
5% Rubber","Never Settle. Whether you're shredding trails or sending it big on the track, the performance and quality will withstand your best efforts with this modest glove. Give it your all.","•  Embossed ergonomic slip-on cuff tailored to accommodate training watch
• Nylon/Spandex top hand provides comfort and flexibility
• Single-layer Clarino® palm
• Stretch finger gussets
• Silicon printed palm and fingers improve grip and lever traction
• Integrated tech-thread keeps you connected with your digital device"
10017-00000,"Bike, Moto",SP23,HYDROMATIC Gloves,Gloves,Black,TRUE,TRUE,10017-00000,10017-00000,10017-00001,10017-00002,10017-00003,10017-00004,,,S,M,L,XL,2XL,,,39.5,39.5,VN,"65% Polyester
33% Polyurethane (PU)
2% Elastane",Dry & Light Weight. Mother Nature has met her match with this thin waterproof-breathable glove engineered to keep you going fast wet weather. Laminated mesh with waterproof breathable insert blocks out the water while maintaining exceptional dexterity and control of your bike.,"• Single-layer PU palm for weather protection
• Laminated mock-mesh top of hand fabric
• Waterproof-breathable insert secured to outer layer for optimal gripping
• Silicone printed palm graphic increases grip in wet conditions
• Reflective graphic on top of hand offer a clean look with improved visibility
• Extended waterproof self-goods pull-on cuff for more coverage
• Conductive index finger & thumb keeps you connected with your digital device"
10017-00005,"Bike, Moto",SP23,HYDROMATIC Gloves,Gloves,Fluo Yellow,TRUE,TRUE,10017-00005,10017-00005,10017-00006,10017-00007,10017-00008,10017-00009,,,S,M,L,XL,2XL,,,39.5,39.5,VN,"65% Polyester
33% Polyurethane (PU)
2% Elastane",Dry & Light Weight. Mother Nature has met her match with this thin waterproof-breathable glove engineered to keep you going fast wet weather. Laminated mesh with waterproof breathable insert blocks out the water while maintaining exceptional dexterity and control of your bike.,"• Single-layer PU palm for weather protection
• Laminated mock-mesh top of hand fabric
• Waterproof-breathable insert secured to outer layer for optimal gripping
• Silicone printed palm graphic increases grip in wet conditions
• Reflective graphic on top of hand offer a clean look with improved visibility
• Extended waterproof self-goods pull-on cuff for more coverage
• Conductive index finger & thumb keeps you connected with your digital device"
10018-00000,"Bike, Moto",SP23,HYDROMATIC BRISKER Gloves,Gloves,Black,TRUE,TRUE,10018-00000,10018-00000,10018-00001,10018-00002,10018-00003,10018-00004,,,S,M,L,XL,2XL,,,44.5,44.5,VN,"61% Polyester
23% Nylon
12% Polyurethane (PU)
4% Elastane","Warm, Dry & Light. Mother Nature has met her match with this low profile glove engineered to keep you going fast in cold, wet weather. Laminated insulated shell with waterproof breathable insert blocks out the water and keeps they dry while maintaining exceptional dexterity and control of your bike.","• Single-layer PU palm for weather protection
• Lightly insulated soft-shell top hand ensures protection against colder temps
• Moisture wicking microfiber interior provides the perfect level of insulation
• Waterproof-breathable insert secured to outer layer for optimal gripping
• Silicone printed palm graphic increases grip in wet conditions
• Reflective graphic on top of hand offer a clean look with improved visibility
• Embossed graphics for some added texture
• Extended waterproof neoprene pull-on cuff for more coverage
• Conductive index finger & thumb keeps you connected with your digital device"
10018-00005,"Bike, Moto",SP23,HYDROMATIC BRISKER Gloves,Gloves,Blue,TRUE,TRUE,10018-00005,10018-00005,10018-00006,10018-00007,10018-00008,10018-00009,,,S,M,L,XL,2XL,,,44.5,44.5,VN,"61% Polyester
23% Nylon
12% Polyurethane (PU)
4% Elastane","Warm, Dry & Light. Mother Nature has met her match with this low profile glove engineered to keep you going fast in cold, wet weather. Laminated insulated shell with waterproof breathable insert blocks out the water and keeps they dry while maintaining exceptional dexterity and control of your bike.","• Single-layer PU palm for weather protection
• Lightly insulated soft-shell top hand ensures protection against colder temps
• Moisture wicking microfiber interior provides the perfect level of insulation
• Waterproof-breathable insert secured to outer layer for optimal gripping
• Silicone printed palm graphic increases grip in wet conditions
• Reflective graphic on top of hand offer a clean look with improved visibility
• Embossed graphics for some added texture
• Extended waterproof neoprene pull-on cuff for more coverage
• Conductive index finger & thumb keeps you connected with your digital device"
10019-00000,Bike,SP23,SLING Bike Gloves,Gloves,Black,TRUE,TRUE,10019-00000,10019-00000,10019-00001,10019-00002,10019-00003,10019-00004,,,S,M,L,XL,2XL,,,39.5,39.5,VN,"55% Polyester
23% Nylon
10% Elastane
9% Polyurethane (PU)
3% Rubber",Less Is More. Now you can ride with the feeling like you are not wearing gloves yet take comfort knowing you are covered.,"• Embossed back panel cuff for simplistic comfort and modern look
• Ultra lightweight 4-way stretch woven with laser perforations for breathability
• Perforated single-layer cool skin palm
• Mesh finger gussets for increased air flow
• Reflective top hand art for added visibility
• Integrated tech thread keeps you connected with your devices"
10019-00005,Bike,SP23,SLING Bike Gloves,Gloves,Grey,TRUE,TRUE,10019-00005,10019-00005,10019-00006,10019-00007,10019-00008,10019-00009,,,S,M,L,XL,2XL,,,39.5,39.5,VN,"55% Polyester
23% Nylon
10% Elastane
9% Polyurethane (PU)
3% Rubber",Less Is More. Now you can ride with the feeling like you are not wearing gloves yet take comfort knowing you are covered.,"• Embossed back panel cuff for simplistic comfort and modern look
• Ultra lightweight 4-way stretch woven with laser perforations for breathability
• Perforated single-layer cool skin palm
• Mesh finger gussets for increased air flow
• Reflective top hand art for added visibility
• Integrated tech thread keeps you connected with your devices"
10019-00010,Bike,SP23,SLING Bike Gloves,Gloves,Navy,TRUE,TRUE,10019-00010,10019-00010,10019-00011,10019-00012,10019-00013,10019-00014,,,S,M,L,XL,2XL,,,39.5,39.5,VN,"55% Polyester
23% Nylon
10% Elastane
9% Polyurethane (PU)
3% Rubber",Less Is More. Now you can ride with the feeling like you are not wearing gloves yet take comfort knowing you are covered.,"• Embossed back panel cuff for simplistic comfort and modern look
• Ultra lightweight 4-way stretch woven with laser perforations for breathability
• Perforated single-layer cool skin palm
• Mesh finger gussets for increased air flow
• Reflective top hand art for added visibility
• Integrated tech thread keeps you connected with your devices"
10021-00000,Bike,SP23,SLING Bike Short Finger Gloves,Gloves,Black,TRUE,TRUE,10021-00000,10021-00000,10021-00001,10021-00002,10021-00003,10021-00004,,,S,M,L,XL,2XL,,,36.5,36.5,VN,"55% Polyester
23% Nylon
10% Elastane
9% Polyurethane (PU)
3% Rubber",Less Is More. Now you can ride with the feeling like you are not wearing gloves yet take comfort knowing you are covered.,"• Embossed back panel cuff for simplistic comfort and modern look
• Ultra lightweight 4-way stretch with laser perforations for breathability
• Perforated single-layer cool skin palm
• Mesh finger gussets for increased air flow
• Reflective top hand art for added visibility
• Pull tabs on middle fingers to aid in removal"
10021-00005,Bike,SP23,SLING Bike Short Finger Gloves,Gloves,Grey,TRUE,TRUE,10021-00005,10021-00005,10021-00006,10021-00007,10021-00008,10021-00009,,,S,M,L,XL,2XL,,,36.5,36.5,VN,"55% Polyester
23% Nylon
10% Elastane
9% Polyurethane (PU)
3% Rubber",Less Is More. Now you can ride with the feeling like you are not wearing gloves yet take comfort knowing you are covered.,"• Embossed back panel cuff for simplistic comfort and modern look
• Ultra lightweight 4-way stretch with laser perforations for breathability
• Perforated single-layer cool skin palm
• Mesh finger gussets for increased air flow
• Reflective top hand art for added visibility
• Pull tabs on middle fingers to aid in removal"
10021-00010,Bike,SP23,SLING Bike Short Finger Gloves,Gloves,Navy,TRUE,TRUE,10021-00010,10021-00010,10021-00011,10021-00012,10021-00013,10021-00014,,,S,M,L,XL,2XL,,,36.5,36.5,VN,"55% Polyester
23% Nylon
10% Elastane
9% Polyurethane (PU)
3% Rubber",Less Is More. Now you can ride with the feeling like you are not wearing gloves yet take comfort knowing you are covered.,"• Embossed back panel cuff for simplistic comfort and modern look
• Ultra lightweight 4-way stretch with laser perforations for breathability
• Perforated single-layer cool skin palm
• Mesh finger gussets for increased air flow
• Reflective top hand art for added visibility
• Pull tabs on middle fingers to aid in removal"
10023-00000,Bike,SP23,SLING MX Gloves,Gloves,Black,TRUE,TRUE,10023-00000,10023-00000,10023-00001,10023-00002,10023-00003,10023-00004,,,S,M,L,XL,2XL,,,36.5,36.5,VN,"38% Polyester
36% Nylon
12% Polyurethane (PU)
10% Elastane
4% Rubber",Less Is More. Now you can ride with the feeling like you are not wearing gloves yet take comfort knowing you are covered.,"• Embossed inner cuff for sleek comfort and modern look
• Ultra lightweight 4-way stretch woven with laser perforations for breathability
• Clarino® single-layer palm with perforations on fingers
• Silicone print on palm and fingers for added grip
• Mesh finger gussets for increased air flow
• Rubber printed logos on top of hand
• Integrated tech thread keeps you connected with your devices"
10023-00005,Bike,SP23,SLING MX Gloves,Gloves,Fluo Yellow,TRUE,TRUE,10023-00005,10023-00005,10023-00006,10023-00007,10023-00008,10023-00009,,,S,M,L,XL,2XL,,,36.5,36.5,VN,"38% Polyester
36% Nylon
12% Polyurethane (PU)
10% Elastane
4% Rubber",Less Is More. Now you can ride with the feeling like you are not wearing gloves yet take comfort knowing you are covered.,"• Embossed inner cuff for sleek comfort and modern look
• Ultra lightweight 4-way stretch woven with laser perforations for breathability
• Clarino® single-layer palm with perforations on fingers
• Silicone print on palm and fingers for added grip
• Mesh finger gussets for increased air flow
• Rubber printed logos on top of hand
• Integrated tech thread keeps you connected with your devices"
10023-00010,Bike,SP23,SLING MX Gloves,Gloves,Navy,TRUE,TRUE,10023-00010,10023-00010,10023-00011,10023-00012,10023-00013,10023-00014,,,S,M,L,XL,2XL,,,36.5,36.5,VN,"38% Polyester
36% Nylon
12% Polyurethane (PU)
10% Elastane
4% Rubber",Less Is More. Now you can ride with the feeling like you are not wearing gloves yet take comfort knowing you are covered.,"• Embossed inner cuff for sleek comfort and modern look
• Ultra lightweight 4-way stretch woven with laser perforations for breathability
• Clarino® single-layer palm with perforations on fingers
• Silicone print on palm and fingers for added grip
• Mesh finger gussets for increased air flow
• Rubber printed logos on top of hand
• Integrated tech thread keeps you connected with your devices"
10023-00015,Bike,SP23,SLING MX Gloves,Gloves,Grey,TRUE,TRUE,10023-00015,10023-00015,10023-00016,10023-00017,10023-00018,10023-00019,,,S,M,L,XL,2XL,,,36.5,36.5,VN,"38% Polyester
36% Nylon
12% Polyurethane (PU)
10% Elastane
4% Rubber",Less Is More. Now you can ride with the feeling like you are not wearing gloves yet take comfort knowing you are covered.,"• Embossed inner cuff for sleek comfort and modern look
• Ultra lightweight 4-way stretch woven with laser perforations for breathability
• Clarino® single-layer palm with perforations on fingers
• Silicone print on palm and fingers for added grip
• Mesh finger gussets for increased air flow
• Rubber printed logos on top of hand
• Integrated tech thread keeps you connected with your devices"
